title,authors,affiliation,journal,publication_date,doi
Identification and mechanism analysis of biomarkers related to butyrate metabolism in COVID-19 patients.,"Zhou W, Li H, Zhang J, Liu C, Liu D, Chen X, Ouyang J, Zeng T, Peng S, Ouyang F, Long Y, Li Y",Unknown,Ann Med,2025 Dec,10.1080/07853890.2025.2477301
Decoding Alzheimer's Disease With Depression: Molecular Insights and Therapeutic Target.,"Li Z, Guo H, Ge Y, Li X, Dong F, Zhang F",Unknown,J Cell Mol Med,2025 Mar,10.1111/jcmm.70454
In Situ Raman Spectra and Machine Learning Assistant Thermal Annealing Optimization for Effective Phototransistors.,"Fan R, Yu J, Xie Z, Liu L",Unknown,ACS Appl Mater Interfaces,2025 Mar 12,10.1021/acsami.4c23070
Multi-omics analysis of druggable genes to facilitate Alzheimer's disease therapy: A multi-cohort machine learning study.,"Hu J, Luo Y, Wang X",Unknown,J Prev Alzheimers Dis,2025 Mar 11,10.1016/j.tjpad.2025.100128
Hemispheric organization of the brain and its prevailing impact on the neuropsychology of aging.,"Festini SB, Kegler G, Reuter-Lorenz PA",Unknown,Handb Clin Neurol,2025,10.1016/B978-0-443-15646-5.00004-X
Artificial intelligence for weight estimation in paediatric emergency care.,"Isasi I, Aramendi E, Alonso E, Ballesteros-Peña S, WEST research group",Unknown,BMJ Paediatr Open,2025 Mar 12,10.1136/bmjpo-2024-002891
AI-driven Personalized Medicine: Transforming Clinical Practice in Inflammatory Bowel Disease.,"Iacucci M, Santacroce G, Maeda Y, Ghosh S",Unknown,Gastroenterology,2025 Mar 10,10.1053/j.gastro.2025.03.005
Bulk transcriptome and single-nucleus RNA sequencing analyses highlight the role of recombination activating 1 in non-alcoholic fatty liver disease.,"Luo X, Deng H, Li Q, Zhao M, Zhang Y, Guo J, Wen Y, Chen G, Li J",Unknown,Int J Biol Macromol,2025 Mar 10,10.1016/j.ijbiomac.2025.141919
A machine learning-based prognostic signature utilizing MSC proteomics for predicting bladder cancer prognosis and treatment response.,"Zhang X, Li P, Ji L, Zhang Y, Zhang Z, Guo Y, Zhang L, Jing S, Dong Z, Tian J, Yang L, Ding H, Yang E, Wang Z",Unknown,Transl Oncol,2025 Mar 11,10.1016/j.tranon.2025.102349
"Evaluation of factors associated with adult skeletal fluorosis in coal-burning type of endemic fluorosis and initial screening model based on machine learning in Guizhou, Southwest China.","Shi H, You M, Li X, Zhang B, Gao J, Zhou D, Tu Y, Xia Z, Li J, Yang G, Liu Y, Ye H",Unknown,Ecotoxicol Environ Saf,2025 Mar 11,10.1016/j.ecoenv.2025.118018
